zona,anio,mes,pasajeros_mun,extranjeros_mun,dengue_ctx,residuos_ton,gini,pobreza,ingreso,oni_ctx,rnt_prestadores,rnt_camas,rnt_habitaciones,peso_turistico,nivel_turistico,score_pca,residuos_zona,alerta_residuos,alerta_presion,alerta_sanitaria,alerta_hidrica,alerta_servicios,alerta_gentrificacion,ocupacion_proxy,estacionalidad,residuos_per_turista
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2016,12,142087.0,2313,5.0,120312.45,0.45,37.1,543452.0,-0.45,1542.0,16498.0,10007.0,1.0,Alto,26.7,120312.45,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,8.6124,1.1246,0.6134
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,1,160439.0,2452,9.0,169640.76,0.47,33.7,607408.0,-0.19,1542.0,16498.0,11923.0,1.0,Alto,34.4,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,9.7248,1.1419,0.7214
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,2,117587.0,2860,5.0,169640.76,0.47,33.7,607408.0,-0.02,1542.0,16498.0,11923.0,1.0,Alto,32.8,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.1273,0.8369,0.8931
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,3,130421.0,2310,6.0,169640.76,0.47,33.7,607408.0,0.18,1542.0,16498.0,11923.0,1.0,Alto,31.6,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.9053,0.9283,0.8332
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,4,142422.0,2172,3.0,169640.76,0.47,33.7,607408.0,0.31,1542.0,16498.0,11923.0,1.0,Alto,31.5,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,8.6327,1.0137,0.7844
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,5,125481.0,1878,4.0,169640.76,0.47,33.7,607408.0,0.4,1542.0,16498.0,11923.0,1.0,Alto,29.3,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.6058,0.8931,0.8552
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,6,141483.0,1970,5.0,169640.76,0.47,33.7,607408.0,0.39,1542.0,16498.0,11923.0,1.0,Alto,30.9,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,8.5758,1.007,0.788
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,7,155096.0,2808,4.0,169640.76,0.47,33.7,607408.0,0.19,1542.0,16498.0,11923.0,1.0,Alto,34.9,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,9.4009,1.1039,0.739
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,8,157727.0,2277,4.0,169640.76,0.47,33.7,607408.0,-0.07,1542.0,16498.0,11923.0,1.0,Alto,33.0,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,9.5604,1.1226,0.7302
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,9,132473.0,1813,2.0,169640.76,0.47,33.7,607408.0,-0.34,1542.0,16498.0,11923.0,1.0,Alto,29.3,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,8.0296,0.9429,0.8244
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,10,128121.0,1635,1.0,169640.76,0.47,33.7,607408.0,-0.6,1542.0,16498.0,11923.0,1.0,Alto,28.2,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.7659,0.9119,0.8433
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,11,140706.0,4877,6.0,169640.76,0.47,33.7,607408.0,-0.77,1542.0,16498.0,11923.0,1.0,Alto,42.3,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,8.5287,1.0015,0.791
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2017,12,154067.0,3073,6.0,169640.76,0.47,33.7,607408.0,-0.86,1542.0,16498.0,11923.0,1.0,Alto,36.1,169640.76,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,9.3385,1.0965,0.7425
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,1,162348.0,3184,19.0,165644.42,0.455,33.5,615192.0,-0.77,1774.0,22975.0,13839.0,1.0,Alto,39.5,165644.42,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.0663,0.9763,0.7032
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,2,123809.0,2964,6.0,165644.42,0.455,33.5,615192.0,-0.71,1774.0,22975.0,13839.0,1.0,Alto,34.6,165644.42,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.3889,0.7446,0.8493
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,3,141264.0,3128,7.0,165644.42,0.455,33.5,615192.0,-0.57,1774.0,22975.0,13839.0,1.0,Alto,36.5,165644.42,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.1486,0.8495,0.7759
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,4,136165.0,2617,11.0,165644.42,0.455,33.5,615192.0,-0.39,1774.0,22975.0,13839.0,1.0,Alto,34.6,165644.42,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.9267,0.8189,0.7959
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,5,137316.0,2201,5.0,165644.42,0.455,33.5,615192.0,-0.13,1774.0,22975.0,13839.0,1.0,Alto,32.4,165644.42,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.9768,0.8258,0.7913
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,6,160966.0,2078,20.0,165644.42,0.455,33.5,615192.0,0.06,1774.0,22975.0,13839.0,1.0,Alto,35.2,165644.42,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.0061,0.968,0.7076
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,7,176160.0,2638,27.0,165644.42,0.455,33.5,615192.0,0.14,1774.0,22975.0,13839.0,1.0,Alto,39.2,165644.42,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.6675,1.0594,0.6628
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,8,174582.0,2470,49.0,165644.42,0.455,33.5,615192.0,0.27,1774.0,22975.0,13839.0,1.0,Alto,40.9,165644.42,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.5988,1.0499,0.6672
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,9,163615.0,1938,93.0,165644.42,0.455,33.5,615192.0,0.53,1774.0,22975.0,13839.0,1.0,Alto,43.1,165644.42,Crítico,Crítico,Riesgo brote,SIMULADO,SIMULADO,SIMULADO,7.1214,0.9839,0.6993
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,10,177772.0,2001,163.0,165644.42,0.455,33.5,615192.0,0.81,1774.0,22975.0,13839.0,1.0,Alto,52.3,165644.42,Crítico,Crítico,Riesgo brote,SIMULADO,SIMULADO,SIMULADO,7.7376,1.0691,0.6584
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,11,205413.0,2330,234.0,165644.42,0.455,33.5,615192.0,0.97,1774.0,22975.0,13839.0,1.0,Alto,63.5,165644.42,Crítico,Crítico,Riesgo brote,SIMULADO,SIMULADO,SIMULADO,8.9407,1.2353,0.5913
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2018,12,236001.0,2844,313.0,165644.42,0.455,33.5,615192.0,0.92,1774.0,22975.0,13839.0,1.0,Alto,76.5,165644.42,Crítico,Crítico,Riesgo brote,SIMULADO,SIMULADO,SIMULADO,10.2721,1.4193,0.5317
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,1,232619.0,3197,283.0,161526.2,0.46359375,37.0,636424.0,0.89,3300.0,35366.0,16300.0,1.0,Alto,79.4,161526.2,Crítico,Crítico,Riesgo brote,SIMULADO,SIMULADO,SIMULADO,6.5775,1.4201,0.5273
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,2,176764.0,3374,91.0,161526.2,0.46359375,37.0,636424.0,0.86,3300.0,35366.0,16300.0,1.0,Alto,54.6,161526.2,Crítico,Crítico,Riesgo brote,SIMULADO,SIMULADO,SIMULADO,4.9981,1.0791,0.6491
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,3,195542.0,3221,61.0,161526.2,0.46359375,37.0,636424.0,0.84,3300.0,35366.0,16300.0,1.0,Alto,51.8,161526.2,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.5291,1.1937,0.6022
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,4,188024.0,2498,29.0,161526.2,0.46359375,37.0,636424.0,0.77,3300.0,35366.0,16300.0,1.0,Alto,44.9,161526.2,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.3165,1.1478,0.6201
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,5,177279.0,2026,15.0,161526.2,0.46359375,37.0,636424.0,0.64,3300.0,35366.0,16300.0,1.0,Alto,40.7,161526.2,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.0127,1.0822,0.6477
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,6,196391.0,2252,21.0,161526.2,0.46359375,37.0,636424.0,0.52,3300.0,35366.0,16300.0,1.0,Alto,43.5,161526.2,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.5531,1.1989,0.6002
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,7,213171.0,2621,33.0,161526.2,0.46359375,37.0,636424.0,0.33,3300.0,35366.0,16300.0,1.0,Alto,47.4,161526.2,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.0276,1.3013,0.564
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,8,198432.0,2714,19.0,161526.2,0.46359375,37.0,636424.0,0.19,3300.0,35366.0,16300.0,1.0,Alto,45.2,161526.2,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.6108,1.2114,0.5955
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,9,0.0,2022,23.0,161526.2,0.46359375,37.0,636424.0,0.23,3300.0,35366.0,16300.0,1.0,Alto,29.9,161526.2,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,0.0,0.0,0.0
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,10,171897.0,1897,31.0,161526.2,0.46359375,37.0,636424.0,0.39,3300.0,35366.0,16300.0,1.0,Alto,41.7,161526.2,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,4.8605,1.0494,0.6625
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,11,0.0,2366,49.0,161526.2,0.46359375,37.0,636424.0,0.58,3300.0,35366.0,16300.0,1.0,Alto,34.2,161526.2,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,0.0,0.0,0.0
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2019,12,215601.0,2761,41.0,161526.2,0.46359375,37.0,636424.0,0.66,3300.0,35366.0,16300.0,1.0,Alto,49.1,161526.2,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.0963,1.3162,0.5592
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,1,211581.0,3454,75.0,171798.72,0.4825,46.8,552073.0,0.64,3083.0,32997.0,15222.0,1.0,Alto,57.3,171798.72,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.4121,3.2726,0.5944
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,2,165255.0,3941,52.0,171798.72,0.4825,46.8,552073.0,0.63,3083.0,32997.0,15222.0,1.0,Alto,53.5,171798.72,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.0082,2.5561,0.7128
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,3,101155.0,1626,36.0,171798.72,0.4825,46.8,552073.0,0.53,3083.0,32997.0,15222.0,1.0,Alto,38.4,171798.72,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,3.0656,1.5646,0.9926
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,4,0.0,3,10.0,171798.72,0.4825,46.8,552073.0,0.3,3083.0,32997.0,15222.0,1.0,Alto,22.4,171798.72,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,0.0,0.0,0.0
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,5,0.0,2,7.0,171798.72,0.4825,46.8,552073.0,0.01,3083.0,32997.0,15222.0,1.0,Alto,22.1,171798.72,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,0.0,0.0,0.0
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,6,11.0,10,14.0,171798.72,0.4825,46.8,552073.0,-0.23,3083.0,32997.0,15222.0,1.0,Alto,22.9,171798.72,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,0.0003,0.0002,9.6562
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,7,29.0,4,1.0,171798.72,0.4825,46.8,552073.0,-0.36,3083.0,32997.0,15222.0,1.0,Alto,21.4,171798.72,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,0.0009,0.0004,8.687
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,8,2.0,6,8.0,171798.72,0.4825,46.8,552073.0,-0.53,3083.0,32997.0,15222.0,1.0,Alto,22.2,171798.72,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,0.0001,0.0,11.3609
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,9,21167.0,25,28.0,171798.72,0.4825,46.8,552073.0,-0.85,3083.0,32997.0,15222.0,1.0,Alto,25.9,171798.72,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,0.6415,0.3274,2.2101
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,10,55172.0,219,51.0,171798.72,0.4825,46.8,552073.0,-1.12,3083.0,32997.0,15222.0,1.0,Alto,31.5,171798.72,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,1.672,0.8534,1.4144
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,11,89337.0,402,78.0,171798.72,0.4825,46.8,552073.0,-1.2,3083.0,32997.0,15222.0,1.0,Alto,37.6,171798.72,Crítico,Crítico,Vigilancia,SIMULADO,SIMULADO,SIMULADO,2.7074,1.3818,1.0726
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2020,12,132112.0,912,120.0,171798.72,0.4825,46.8,552073.0,-1.08,3083.0,32997.0,15222.0,1.0,Alto,47.1,171798.72,Crítico,Crítico,Vigilancia,SIMULADO,SIMULADO,SIMULADO,4.0038,2.0434,0.8331
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,1,164436.0,844,76.0,189859.54,0.50140625,45.8,675128.0,-0.91,3953.0,35851.0,17313.0,1.0,Alto,48.7,189859.54,Crítico,Crítico,Vigilancia,SIMULADO,SIMULADO,SIMULADO,4.5867,0.7803,0.7676
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,2,148604.0,656,51.0,189859.54,0.50140625,45.8,675128.0,-0.79,3953.0,35851.0,17313.0,1.0,Alto,44.1,189859.54,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,4.145,0.7052,0.8231
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,3,174935.0,691,31.0,189859.54,0.50140625,45.8,675128.0,-0.71,3953.0,35851.0,17313.0,1.0,Alto,43.7,189859.54,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,4.8795,0.8301,0.7349
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,4,114938.0,506,16.0,189859.54,0.50140625,45.8,675128.0,-0.55,3953.0,35851.0,17313.0,1.0,Alto,37.3,189859.54,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,3.206,0.5454,0.9753
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,5,135149.0,490,19.0,189859.54,0.50140625,45.8,675128.0,-0.39,3953.0,35851.0,17313.0,1.0,Alto,38.9,189859.54,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,3.7697,0.6413,0.8775
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,6,213724.0,827,14.0,189859.54,0.50140625,45.8,675128.0,-0.3,3953.0,35851.0,17313.0,1.0,Alto,44.9,189859.54,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.9615,1.0142,0.6357
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,7,248664.0,1208,24.0,189859.54,0.50140625,45.8,675128.0,-0.35,3953.0,35851.0,17313.0,1.0,Alto,49.8,189859.54,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.936,1.18,0.5673
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,8,251265.0,1342,60.0,189859.54,0.50140625,45.8,675128.0,-0.45,3953.0,35851.0,17313.0,1.0,Alto,54.6,189859.54,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,7.0086,1.1923,0.5628
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,9,226009.0,1524,149.0,189859.54,0.50140625,45.8,675128.0,-0.63,3953.0,35851.0,17313.0,1.0,Alto,63.7,189859.54,Crítico,Crítico,Vigilancia,SIMULADO,SIMULADO,SIMULADO,6.3041,1.0725,0.6098
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,10,238273.0,1642,192.0,189859.54,0.50140625,45.8,675128.0,-0.76,3953.0,35851.0,17313.0,1.0,Alto,69.9,189859.54,Crítico,Crítico,Vigilancia,SIMULADO,SIMULADO,SIMULADO,6.6462,1.1307,0.586
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,11,295078.0,2199,190.0,189859.54,0.50140625,45.8,675128.0,-0.91,3953.0,35851.0,17313.0,1.0,Alto,75.6,189859.54,Crítico,Crítico,Vigilancia,SIMULADO,SIMULADO,SIMULADO,8.2307,1.4002,0.4968
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2021,12,317718.0,2963,114.0,189859.54,0.50140625,45.8,675128.0,-0.87,3953.0,35851.0,17313.0,1.0,Alto,71.4,189859.54,Crítico,Crítico,Vigilancia,SIMULADO,SIMULADO,SIMULADO,8.8622,1.5077,0.4685
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,1,334728.0,2866,37.0,189210.28,0.51,44.4,793050.0,-0.82,5943.0,51942.0,25557.0,1.0,Alto,72.0,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.4443,1.0789,0.4481
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,2,267945.0,2879,25.0,189210.28,0.51,44.4,793050.0,-0.79,5943.0,51942.0,25557.0,1.0,Alto,66.3,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.1585,0.8636,0.5342
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,3,307052.0,3341,26.0,189210.28,0.51,44.4,793050.0,-0.86,5943.0,51942.0,25557.0,1.0,Alto,70.8,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.9114,0.9897,0.4801
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,4,311634.0,3628,12.0,189210.28,0.51,44.4,793050.0,-0.95,5943.0,51942.0,25557.0,1.0,Alto,70.6,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.9997,1.0044,0.4745
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,5,298489.0,2888,22.0,189210.28,0.51,44.4,793050.0,-0.9,5943.0,51942.0,25557.0,1.0,Alto,68.0,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.7466,0.9621,0.491
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,6,322276.0,3129,33.0,189210.28,0.51,44.4,793050.0,-0.78,5943.0,51942.0,25557.0,1.0,Alto,71.7,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.2045,1.0387,0.4619
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,7,360067.0,4576,45.0,189210.28,0.51,44.4,793050.0,-0.76,5943.0,51942.0,25557.0,1.0,Alto,81.3,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.9321,1.1605,0.4223
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,8,333779.0,4328,69.0,189210.28,0.51,44.4,793050.0,-0.87,5943.0,51942.0,25557.0,1.0,Alto,81.3,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,6.426,1.0758,0.4491
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,9,286382.0,3493,47.0,189210.28,0.51,44.4,793050.0,-0.97,5943.0,51942.0,25557.0,1.0,Alto,72.4,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.5135,0.9231,0.5072
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,10,304370.0,3332,55.0,189210.28,0.51,44.4,793050.0,-0.94,5943.0,51942.0,25557.0,1.0,Alto,73.9,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.8598,0.981,0.4834
"SANTA MARTA, DISTRITO TURÍSTICO, CULTURAL E HISTÓRICO",2022,11,279156.0,5016,59.0,189210.28,0.51,44.4,793050.0,-0.85,5943.0,51942.0,25557.0,1.0,Alto,79.2,189210.28,Crítico,Crítico,Normal,SIMULADO,SIMULADO,SIMULADO,5.3744,0.8998,0.5175
